social,968
nature,968
ú,967
deserves,965
west,961
blake,961
teacher,960
threat,959
frankie,959
bloody,957
lonely,956
kelly,955
ordered,954
shame,953
brittany,953
local,952
jacket,952
hook,952
destroyed,952
scary,951
loser,951
investigation,951
above,951
jamal,950
invite,950
shooting,948
merry,948
port,947
precious,946
lesson,944
roy,943
criminal,943
growing,941
caused,940
victim,939
professor,938
followed,937
funeral,936
nothing's,934
dean,934
considering,934
burning,934
couch,932
strength,930
harder,930
loss,929
view,928
gia,928
beauty,926
sisters,925
everybody's,924
several,923
pushed,922
nicholas,921
written,920
somebody's,920
shock,920
pushing,918
heat,917
chocolate,917
greatest,916
holden,915
miserable,914
corinthos,914
nightmare,913
energy,912
brings,912
zander,911
character,911
became,911
famous,910
enemy,910
crash,910
chances,910
sending,909
recognize,909
healthy,907
boring,907
feed,906
engaged,906
sarah,905
percent,904
headed,904
brandon,904
lines,903
treated,902
purpose,901
north,901
knife,901
rights,900
drag,900
san,899
fan,899
badly,899
speed,898
santa,898
hire,898
curious,898
paint,897
pardon,896
jackson,896
built,896
behavior,896
closet,895
candy,895
helena,893
warn,892
gorgeous,892
post,891
milk,891
survive,888
forced,887
daria,887
victoria,884
operation,884
suck,883
offered,882
hm,882
ends,882
dump,882
rent,881
marshall,881
remembered,880
lieutenant,880
trade,879
thanksgiving,879
rain,879
revenge,877
physical,877
available,877
program,876
prefer,876
baby's,875
spare,873
pray,873
disappeared,873
aside,873
statement,872
sometime,871
animal,871
sugar,870
ricky,870
meat,870
fantastic,870
breathing,870
laughing,869
itself,869
tip,868
stood,868
market,868
raul,866
affair,865
stephen,862
ours,862
depends,862
cook,862
babe,862
main,861
woods,860
protecting,860
jury,859
harley,859
national,857
brave,856
storm,855
large,854
prince,853
jack's,853
interview,853
daniel,852
roger,851
football,851
fingers,851
murdered,850
stan,849
sexy,849
julia,849
explanation,847
da,847
process,846
picking,846
based,846
style,845
stone,845
pieces,845
blah,845
assistant,845
stronger,844
block,844
aah,844
newman,843
bullshit,843
pie,842
handsome,842
unbelievable,841
anytime,841
nearly,840
maureen,840
shake,839
everyone's,839
oakdale,838
cars,838
wherever,837
serve,837
pulling,836
points,836
medicine,835
facts,833
waited,832
pete,832
lousy,832
circumstances,832
stage,831
lucas,831
disappointed,831
weak,830
trusted,830
license,830
nothin,829
community,829
trey,828
