Time,CPU (%),RAM (%),TCP Out (MB)
2019.6644159056316,0.24,12.52,0
2019.6644178082192,0.16,12.52,0
2019.6644197108067,0.16,12.52,0
2019.6644216133943,0.35,12.53,0
2019.6644235159818,0.15,12.52,0
2019.6644254185692,0.19,12.52,0
2019.6644273211568,0.14,12.52,0
2019.6644292237443,0.2,12.52,0
2019.664431126332,0.37,12.53,0
2019.6644330289193,0.17,12.52,0
2019.6644349315068,0.13,12.52,0
2019.6644368340944,0.16,12.52,0
2019.6644387366819,0.12,12.52,0
2019.6644406392695,0.42,12.54,0
2019.664442541857,0.12,12.52,0
2019.6644444444444,0.22,12.52,0
2019.664446347032,0.15,12.52,0
2019.6644482496195,0.14,12.52,0
2019.664450152207,0.39,12.53,0
2019.6644520547945,0.11,12.52,0
2019.664453957382,0.12,12.52,0
2019.6644558599696,0.11,12.52,0
2019.664457762557,0.28,12.52,0
2019.6644596651447,0.44,12.53,0
2019.6644615677321,0.12,12.52,0
2019.6644634703196,0.13,12.52,0
2019.6644653729072,0.12,12.52,0
2019.6644672754946,0.16,12.52,0
2019.6644691780823,0.17,12.51,0
2019.6644710806697,0.27,12.54,0
2019.6644729832572,0.09,12.53,0
2019.6644748858448,0.09,12.53,0
2019.6644767884322,0.14,12.53,0
2019.66447869102,0.2,12.52,0
2019.6644805936073,0.24,12.52,0
2019.6644824961948,0.11,12.51,0
2019.6644843987824,0.11,12.51,0
2019.6644863013698,0.08,12.51,0
2019.6644882039575,0.3,12.53,0
2019.664490106545,0.22,12.53,0
2019.6644920091323,0.13,12.52,0
2019.66449391172,0.12,12.52,0
2019.6644958143074,0.11,12.52,0
2019.664497716895,0.4,12.52,0
2019.6644996194825,0.24,12.54,0
2019.66450152207,0.1,12.52,0
2019.6645034246576,0.13,12.52,0
2019.664505327245,0.14,12.52,0
2019.6645072298327,0.19,12.52,0
2019.66450913242,0.27,12.54,0
2019.6645110350075,0.13,12.53,0
2019.6645129375952,0.11,12.53,0
2019.6645148401826,0.34,12.52,0
2019.6645167427703,0.3,12.53,0
2019.6645186453577,0.29,12.54,0
2019.6645205479451,0.12,12.52,0
2019.6645224505328,0.11,12.52,0
2019.6645243531202,0.12,12.52,0
2019.6645262557079,0.19,12.5,0
2019.6645281582953,0.23,12.51,0
2019.6645300608827,0.16,12.5,0
2019.6645319634704,0.1,12.5,0
2019.6645338660578,0.12,12.5,0
2019.6645357686455,0.18,12.53,0
2019.664537671233,0.26,12.54,0
2019.6645395738203,0.14,12.51,0
2019.664541476408,0.14,12.51,0
2019.6645433789954,0.11,12.51,0
2019.664545281583,0.42,12.5,0
2019.6645471841705,0.16,12.5,0
2019.664549086758,0.43,12.54,0
2019.6645509893456,0.2,12.53,0
2019.664552891933,0.11,12.53,0
2019.6645547945207,0.44,12.53,0
2019.664556697108,0.17,12.53,0
2019.6645585996955,0.32,12.54,0
